iso3,country_name,year_of_accession
BEL,Belgium,1949
DNK,Denmark,1949
FRA,France,1949
ISL,Iceland,1949
ITA,Italy,1949
LUX,Luxembourg,1949
NLD,Netherlands,1949
NOR,Norway,1949
PRT,Portugal,1949
GBR,United Kingdom,1949
GRC,Greece,1952
TUR,Turkey,1952
DEU,Germany,1955
ESP,Spain,1982
CZE,Czech Republic,1999
HUN,Hungary,1999
POL,Poland,1999
BGR,Bulgaria,2004
EST,Estonia,2004
LVA,Latvia,2004
LTU,Lithuania,2004
ROU,Romania,2004
SVK,Slovakia,2004
SVN,Slovenia,2004
ALB,Albania,2009
HRV,Croatia,2009
MNE,Mongenegro,2017